ID;Source;Target;Type
820;8291994;4783774;Directed
821;8291994;4783774;Directed
822;8292977;8322898;Directed
823;8292977;6629714;Directed
824;8292977;6629714;Directed
825;8292977;4783774;Directed
826;8292977;9864796;Directed
827;8292977;8322898;Directed
828;8301212;3689524;Directed
829;8301212;2800187;Directed
830;8301212;6747741;Directed
831;8301212;3044282;Directed
832;8301212;3391329;Directed
833;8301212;5463881;Directed
834;8301212;4367760;Directed
835;8301212;7485710;Directed
836;8301212;7485710;Directed
837;8301212;5463881;Directed
838;8301212;3153880;Directed
839;8301212;3819028;Directed
840;8322898;2011484;Directed
841;8322898;6629714;Directed
842;8322898;2011484;Directed
843;8322898;9864796;Directed
844;8322898;1228956;Directed
845;8322898;6241782;Directed
846;8322898;1320400;Directed
847;8322898;4021440;Directed
848;8322898;2006881;Directed
849;8322898;1979703;Directed
850;8322898;2317303;Directed
851;8322898;9864796;Directed
852;8322898;4021440;Directed
853;8322898;6629714;Directed
854;8334897;1228956;Directed
855;8334897;7748415;Directed
856;8389837;5791520;Directed
857;8389837;1312050;Directed
858;8389837;1326826;Directed
859;8389837;2979682;Directed
860;8389837;2979682;Directed
861;8457377;6180955;Directed
862;8461315;7881372;Directed
863;8461315;7114350;Directed
864;8461315;9331469;Directed
865;8461315;7114350;Directed
866;8461315;7881372;Directed
867;8461315;7683599;Directed
868;8461315;7683599;Directed
869;8477601;4999224;Directed
870;8477601;1312050;Directed
871;8477601;9035569;Directed
872;8637166;9628517;Directed
873;8637166;7645228;Directed
874;8641240;1298858;Directed
875;8641240;4954850;Directed
876;8641240;6075178;Directed
877;8712790;7168833;Directed
878;8712790;5103148;Directed
879;8759516;4577047;Directed
880;8759516;4577047;Directed
881;8759516;7287157;Directed
882;8763525;9115403;Directed
883;8763525;1228956;Directed
884;8763525;4495859;Directed
885;8763525;4021440;Directed
886;8763525;1320400;Directed
887;8763525;2173453;Directed
888;8763525;5081628;Directed
889;8945818;7485710;Directed
890;8945818;5976088;Directed
891;8945818;2804173;Directed
892;8945818;7485710;Directed
893;8945818;4640533;Directed
894;8945818;4495859;Directed
895;9001358;5332508;Directed
896;9001358;5497184;Directed
897;9001358;1228956;Directed
898;9001358;5497184;Directed
899;9001358;5332508;Directed
900;9001358;7963910;Directed
901;9014766;6741253;Directed
902;9014766;1228956;Directed
903;9014766;9714922;Directed
904;9014766;6741253;Directed
905;9032409;1320400;Directed
906;9032409;3811169;Directed
907;9032409;3811169;Directed
908;9032409;1228956;Directed
909;9035569;2979682;Directed
910;9035569;8477601;Directed
911;9035569;1326826;Directed
912;9035569;7037273;Directed
913;9035569;1326826;Directed
914;9035569;2938580;Directed
915;9103535;5103148;Directed
916;9103535;2938580;Directed
917;9103535;2116859;Directed
918;9115403;9876007;Directed
919;9115403;2800187;Directed
920;9115403;1320400;Directed
921;9115403;6180955;Directed
922;9115403;6741253;Directed
923;9115403;9876007;Directed
924;9115403;1228956;Directed
925;9115403;2800187;Directed
926;9115403;6241782;Directed
927;9115403;1228956;Directed
928;9115403;3621393;Directed
929;9115403;1489502;Directed
930;9120597;5792138;Directed
931;9120597;5792138;Directed
932;9281126;3621393;Directed
933;9281126;5976088;Directed
934;9281126;1536755;Directed
935;9281126;9876007;Directed
936;9281126;6741253;Directed
937;9281126;1536755;Directed
938;9281126;2800187;Directed
939;9281126;5976088;Directed
940;9281126;5932329;Directed
941;9281126;4021440;Directed
942;9281126;6241782;Directed
943;9281126;6241782;Directed
944;9281126;8763525;Directed
945;9281812;6180955;Directed
946;9281812;6180955;Directed
947;9281812;8759516;Directed
948;9281812;1264028;Directed
949;9281812;2317220;Directed
950;9281812;7114350;Directed
951;9281812;4495859;Directed
952;9281812;1038201;Directed
953;9281812;4495859;Directed
954;9281812;2757704;Directed
955;9281812;2317220;Directed
956;9281812;1264028;Directed
957;9281812;7114350;Directed
958;9281812;4783774;Directed
959;9281812;2091039;Directed
960;9281812;1038201;Directed
961;9331469;4773617;Directed
962;9331469;1320400;Directed
