kerdes;Source;Target;Type;Weight
11;7499076;7485710;Directed;1.0
5;7499076;7287157;Directed;1.0
5;7499076;4773617;Directed;1.0
5;7499076;4577047;Directed;1.0
5;7499076;1237955;Directed;1.0
5;7509153;2589890;Directed;1.0
11;7509153;1264028;Directed;1.0
5;7509153;7518277;Directed;1.0
5;7509153;5044808;Directed;1.0
5;7518277;6536889;Directed;1.0
5;7518277;5044808;Directed;1.0
5;7527534;1270547;Directed;1.0
5;7532126;2979682;Directed;1.0
5;7645228;1326826;Directed;1.0
5;7645228;9628517;Directed;1.0
5;7683599;1228956;Directed;1.0
5;7683599;6741253;Directed;1.0
5;7748415;1228956;Directed;1.0
5;7748415;9014766;Directed;1.0
5;7748415;6741253;Directed;1.0
5;7764075;5081628;Directed;1.0
5;7764075;5932329;Directed;1.0
5;7764075;4021440;Directed;1.0
5;7796481;4577047;Directed;1.0
5;7796481;3811169;Directed;1.0
11;7796481;3345431;Directed;1.0
5;7796481;5976088;Directed;1.0
5;7825893;5976088;Directed;1.0
5;7825893;3811169;Directed;1.0
5;7889583;6762725;Directed;1.0
5;7889583;4784808;Directed;1.0
5;7963910;5932329;Directed;1.0
11;7963910;5976088;Directed;1.0
5;7974470;3689524;Directed;1.0
5;7974470;2800187;Directed;1.0
5;8045158;3689524;Directed;1.0
11;8045158;2589890;Directed;1.0
5;8291994;1264028;Directed;1.0
5;8292977;6629714;Directed;1.0
5;8292977;6747741;Directed;1.0
11;8292977;2091039;Directed;1.0
11;8292977;4783774;Directed;1.0
11;8301212;7485710;Directed;1.0
5;8301212;2800187;Directed;1.0
5;8301212;5463881;Directed;1.0
5;8322898;2317303;Directed;1.0
11;8322898;4021440;Directed;1.0
11;8322898;6241782;Directed;1.0
11;8322898;1228956;Directed;1.0
5;8322898;6629714;Directed;1.0
11;8322898;7963910;Directed;1.0
5;8334897;5932329;Directed;1.0
5;8334897;7963910;Directed;1.0
5;8334897;6741253;Directed;1.0
5;8389837;2979682;Directed;1.0
11;8461315;7114350;Directed;1.0
5;8461315;7881372;Directed;1.0
5;8461315;7683599;Directed;1.0
5;8477601;2979682;Directed;1.0
5;8477601;7037273;Directed;1.0
5;8637166;5120855;Directed;1.0
5;8641240;7532126;Directed;1.0
5;8712790;9103535;Directed;1.0
5;8759516;6653810;Directed;1.0
5;8851805;2166106;Directed;1.0
5;8851805;5695152;Directed;1.0
5;8945818;5921072;Directed;1.0
