kerdes	Source	Target	Type	Weight
2	7168833	2116859	Directed	1
2	7168833	9103535	Directed	1
8	7252385	2091039	Directed	1
2	7252385	7974470	Directed	1
8	7287157	6180955	Directed	1
2	7287157	7796481	Directed	1
2	7287157	3811169	Directed	1
2	7421940	7485710	Directed	1
2	7421940	4495859	Directed	1
2	7485710	3189492	Directed	1
2	7485710	2173453	Directed	1
2	7485710	9032409	Directed	1
2	7499076	1237955	Directed	1
8	7499076	7485710	Directed	1
2	7499076	4577047	Directed	1
2	7499076	2804173	Directed	1
8	7509153	1264028	Directed	1
8	7509153	5332508	Directed	1
2	7509153	6536889	Directed	1
2	7532126	2979682	Directed	1
2	7532126	7037273	Directed	1
2	7645228	1270547	Directed	1
2	7645228	2116859	Directed	1
2	7683599	2587958	Directed	1
2	7683599	1228956	Directed	1
2	7748415	5932329	Directed	1
2	7748415	6741253	Directed	1
2	7764075	5932329	Directed	1
2	7764075	1228956	Directed	1
8	7796481	5932329	Directed	1
2	7796481	1264028	Directed	1
2	7796481	5976088	Directed	1
2	7825893	7287157	Directed	1
2	7825893	4682392	Directed	1
2	7825893	1264028	Directed	1
8	7825893	2800187	Directed	1
8	7963910	3811169	Directed	1
2	7963910	9032409	Directed	1
8	7963910	1326826	Directed	1
2	7963910	5932329	Directed	1
8	7963910	7037273	Directed	1
2	7963910	9115403	Directed	1
8	7963910	5976088	Directed	1
2	7974470	2800187	Directed	1
2	8045158	2800187	Directed	1
8	8045158	7963910	Directed	1
8	8045158	1264028	Directed	1
8	8045158	5932329	Directed	1
8	8292977	4783774	Directed	1
2	8292977	6629714	Directed	1
8	8301212	7485710	Directed	1
2	8301212	2800187	Directed	1
2	8322898	6629714	Directed	1
8	8322898	2011484	Directed	1
8	8322898	2587958	Directed	1
8	8322898	7963910	Directed	1
8	8322898	1228956	Directed	1
8	8322898	4021440	Directed	1
2	8334897	2587958	Directed	1
8	8334897	5332508	Directed	1
2	8389837	2979682	Directed	1
2	8461315	9331469	Directed	1
2	8461315	7881372	Directed	1
2	8461315	8763525	Directed	1
8	8461315	7114350	Directed	1
2	8461315	7683599	Directed	1
2	8461315	9876007	Directed	1
2	8637166	9628517	Directed	1
2	8641240	6075178	Directed	1
2	8712790	9103535	Directed	1
2	8712790	5052005	Directed	1
2	8759516	6653810	Directed	1
